id,kode_provinsi,nama_provinsi,jumlah_pengeluaran_per_kapita,satuan,tahun
81,3300,JAWA TENGAH,9497.15,RIBU RUPIAH,2012
82,3400,D I YOGYAKARTA,12136.69,RIBU RUPIAH,2012
83,3500,JAWA TIMUR,9797.47,RIBU RUPIAH,2012
84,3600,BANTEN,11008.33,RIBU RUPIAH,2012
85,5100,BALI,12529.78,RIBU RUPIAH,2012
86,5200,NUSA TENGGARA BARAT,8852.59,RIBU RUPIAH,2012
87,5300,NUSA TENGGARA TIMUR,6784.75,RIBU RUPIAH,2012
88,6100,KALIMANTAN BARAT,8001.86,RIBU RUPIAH,2012
89,6200,KALIMANTAN TENGAH,9556.6,RIBU RUPIAH,2012
90,6300,KALIMANTAN SELATAN,10552.89,RIBU RUPIAH,2012
91,6400,KALIMANTAN TIMUR,10943.96,RIBU RUPIAH,2012
92,6500,KALIMANTAN UTARA,0.0,RIBU RUPIAH,2012
93,7100,SULAWESI UTARA,9430.04,RIBU RUPIAH,2012
94,7200,SULAWESI TENGAH,8286.07,RIBU RUPIAH,2012
95,7300,SULAWESI SELATAN,9559.61,RIBU RUPIAH,2012
96,7400,SULAWESI TENGGARA,8395.91,RIBU RUPIAH,2012
97,7500,GORONTALO,8672.77,RIBU RUPIAH,2012
98,7600,SULAWESI BARAT,8091.24,RIBU RUPIAH,2012
99,8100,MALUKU,7726.67,RIBU RUPIAH,2012
100,8200,MALUKU UTARA,7059.4,RIBU RUPIAH,2012
101,9100,PAPUA BARAT,6732.03,RIBU RUPIAH,2012
102,9400,PAPUA,6348.87,RIBU RUPIAH,2012
103,1100,ACEH,8288.79,RIBU RUPIAH,2013
104,1200,SUMATERA UTARA,9308.76,RIBU RUPIAH,2013
105,1300,SUMATERA BARAT,9569.54,RIBU RUPIAH,2013
106,1400,RIAU,10179.6,RIBU RUPIAH,2013
107,1500,JAMBI,9066.27,RIBU RUPIAH,2013
108,1600,SUMATERA SELATAN,9230.82,RIBU RUPIAH,2013
109,1700,BENGKULU,8803.21,RIBU RUPIAH,2013
110,1800,LAMPUNG,8415.11,RIBU RUPIAH,2013
111,1900,KEP. BANGKA BELITUNG,11656.54,RIBU RUPIAH,2013
112,2100,KEPULAUAN RIAU,12942.28,RIBU RUPIAH,2013
113,3100,DKI JAKARTA,16827.58,RIBU RUPIAH,2013
114,3200,JAWA BARAT,9421.3,RIBU RUPIAH,2013
115,3300,JAWA TENGAH,9617.92,RIBU RUPIAH,2013
116,3400,D I YOGYAKARTA,12260.52,RIBU RUPIAH,2013
117,3500,JAWA TIMUR,9978.0,RIBU RUPIAH,2013
118,3600,BANTEN,11061.34,RIBU RUPIAH,2013
119,5100,BALI,12738.09,RIBU RUPIAH,2013
120,5200,NUSA TENGGARA BARAT,8950.27,RIBU RUPIAH,2013
121,5300,NUSA TENGGARA TIMUR,6899.41,RIBU RUPIAH,2013
122,6100,KALIMANTAN BARAT,8127.01,RIBU RUPIAH,2013
123,6200,KALIMANTAN TENGAH,9641.41,RIBU RUPIAH,2013
124,6300,KALIMANTAN SELATAN,10654.96,RIBU RUPIAH,2013
125,6400,KALIMANTAN TIMUR,10981.13,RIBU RUPIAH,2013
126,6500,KALIMANTAN UTARA,8228.55,RIBU RUPIAH,2013
127,7100,SULAWESI UTARA,9582.67,RIBU RUPIAH,2013
128,7200,SULAWESI TENGAH,8500.57,RIBU RUPIAH,2013
129,7300,SULAWESI SELATAN,9632.41,RIBU RUPIAH,2013
130,7400,SULAWESI TENGGARA,8537.28,RIBU RUPIAH,2013
131,7500,GORONTALO,8718.72,RIBU RUPIAH,2013
132,7600,SULAWESI BARAT,8147.85,RIBU RUPIAH,2013
133,8100,MALUKU,7872.45,RIBU RUPIAH,2013
134,8200,MALUKU UTARA,7199.8,RIBU RUPIAH,2013
135,9100,PAPUA BARAT,6896.19,RIBU RUPIAH,2013
136,9400,PAPUA,6394.3,RIBU RUPIAH,2013
137,1100,ACEH,8297.48,RIBU RUPIAH,2014
138,1200,SUMATERA UTARA,9391.0,RIBU RUPIAH,2014
139,1300,SUMATERA BARAT,9620.73,RIBU RUPIAH,2014
140,1400,RIAU,10262.4,RIBU RUPIAH,2014
141,1500,JAMBI,9141.15,RIBU RUPIAH,2014
142,1600,SUMATERA SELATAN,9302.02,RIBU RUPIAH,2014
143,1700,BENGKULU,8864.12,RIBU RUPIAH,2014
144,1800,LAMPUNG,8476.24,RIBU RUPIAH,2014
145,1900,KEP. BANGKA BELITUNG,11690.57,RIBU RUPIAH,2014
146,2100,KEPULAUAN RIAU,13018.53,RIBU RUPIAH,2014
147,3100,DKI JAKARTA,16897.51,RIBU RUPIAH,2014
148,3200,JAWA BARAT,9447.16,RIBU RUPIAH,2014
149,3300,JAWA TENGAH,9639.74,RIBU RUPIAH,2014
150,3400,D I YOGYAKARTA,12294.43,RIBU RUPIAH,2014
151,3500,JAWA TIMUR,10012.16,RIBU RUPIAH,2014
152,3600,BANTEN,11150.0,RIBU RUPIAH,2014
153,5100,BALI,12830.51,RIBU RUPIAH,2014
154,5200,NUSA TENGGARA BARAT,8986.96,RIBU RUPIAH,2014
155,5300,NUSA TENGGARA TIMUR,6933.54,RIBU RUPIAH,2014
156,6100,KALIMANTAN BARAT,8174.98,RIBU RUPIAH,2014
157,6200,KALIMANTAN TENGAH,9681.87,RIBU RUPIAH,2014
158,6300,KALIMANTAN SELATAN,10747.57,RIBU RUPIAH,2014
159,6400,KALIMANTAN TIMUR,11018.83,RIBU RUPIAH,2014
160,6500,KALIMANTAN UTARA,8288.86,RIBU RUPIAH,2014
161,7100,SULAWESI UTARA,9627.82,RIBU RUPIAH,2014
162,7200,SULAWESI TENGAH,8601.52,RIBU RUPIAH,2014
163,7300,SULAWESI SELATAN,9722.7,RIBU RUPIAH,2014
164,7400,SULAWESI TENGGARA,8555.13,RIBU RUPIAH,2014
165,7500,GORONTALO,8762.26,RIBU RUPIAH,2014
166,7600,SULAWESI BARAT,8169.87,RIBU RUPIAH,2014
167,8100,MALUKU,7925.16,RIBU RUPIAH,2014
168,8200,MALUKU UTARA,7233.82,RIBU RUPIAH,2014
169,9100,PAPUA BARAT,6943.98,RIBU RUPIAH,2014
170,9400,PAPUA,6416.1,RIBU RUPIAH,2014
171,1100,ACEH,8533.05,RIBU RUPIAH,2015
172,1200,SUMATERA UTARA,9563.19,RIBU RUPIAH,2015
173,1300,SUMATERA BARAT,9803.74,RIBU RUPIAH,2015
174,1400,RIAU,10364.39,RIBU RUPIAH,2015
175,1500,JAMBI,9446.18,RIBU RUPIAH,2015
176,1600,SUMATERA SELATAN,9474.21,RIBU RUPIAH,2015
177,1700,BENGKULU,9122.88,RIBU RUPIAH,2015
178,1800,LAMPUNG,8729.32,RIBU RUPIAH,2015
179,1900,KEP. BANGKA BELITUNG,11780.86,RIBU RUPIAH,2015
180,2100,KEPULAUAN RIAU,13176.79,RIBU RUPIAH,2015
181,3100,DKI JAKARTA,17075.43,RIBU RUPIAH,2015
182,3200,JAWA BARAT,9777.61,RIBU RUPIAH,2015
183,3300,JAWA TENGAH,9929.71,RIBU RUPIAH,2015
