id,kode_provinsi,nama_provinsi,jumlah_pengeluaran_per_kapita,satuan,tahun
398,6500,KALIMANTAN UTARA,9075.0,RIBU RUPIAH,2021
399,7100,SULAWESI UTARA,10882.0,RIBU RUPIAH,2021
400,7200,SULAWESI TENGAH,9378.0,RIBU RUPIAH,2021
401,7300,SULAWESI SELATAN,11184.0,RIBU RUPIAH,2021
402,7400,SULAWESI TENGGARA,9381.0,RIBU RUPIAH,2021
403,7500,GORONTALO,10157.0,RIBU RUPIAH,2021
404,7600,SULAWESI BARAT,9153.0,RIBU RUPIAH,2021
405,8100,MALUKU,8770.0,RIBU RUPIAH,2021
406,8200,MALUKU UTARA,8140.0,RIBU RUPIAH,2021
407,9100,PAPUA BARAT,7929.0,RIBU RUPIAH,2021
408,9200,PAPUA,6955.0,RIBU RUPIAH,2021
409,1100,ACEH,9963.0,RIBU RUPIAH,2022
410,1200,SUMATERA UTARA,10848.0,RIBU RUPIAH,2022
411,1300,SUMATERA BARAT,11130.0,RIBU RUPIAH,2022
412,1400,RIAU,11158.0,RIBU RUPIAH,2022
413,1500,JAMBI,10871.0,RIBU RUPIAH,2022
414,1600,SUMATERA SELATAN,11109.0,RIBU RUPIAH,2022
415,1700,BENGKULU,10840.0,RIBU RUPIAH,2022
416,1800,LAMPUNG,10336.0,RIBU RUPIAH,2022
417,1900,KEP. BANGKA BELITUNG,13358.0,RIBU RUPIAH,2022
418,2100,KEPULAUAN RIAU,14469.0,RIBU RUPIAH,2022
419,3100,DKI JAKARTA,18927.0,RIBU RUPIAH,2022
420,3200,JAWA BARAT,11277.0,RIBU RUPIAH,2022
421,3300,JAWA TENGAH,11377.0,RIBU RUPIAH,2022
422,3400,D I YOGYAKARTA,14482.0,RIBU RUPIAH,2022
423,3500,JAWA TIMUR,11992.0,RIBU RUPIAH,2022
424,3600,BANTEN,12216.0,RIBU RUPIAH,2022
425,5100,BALI,13942.0,RIBU RUPIAH,2022
426,5200,NUSA TENGGARA BARAT,10681.0,RIBU RUPIAH,2022
427,5300,NUSA TENGGARA TIMUR,7877.0,RIBU RUPIAH,2022
428,6100,KALIMANTAN BARAT,9355.0,RIBU RUPIAH,2022
429,6200,KALIMANTAN TENGAH,11458.0,RIBU RUPIAH,2022
430,6300,KALIMANTAN SELATAN,12469.0,RIBU RUPIAH,2022
431,6400,KALIMANTAN TIMUR,12641.0,RIBU RUPIAH,2022
432,6500,KALIMANTAN UTARA,9350.0,RIBU RUPIAH,2022
433,7100,SULAWESI UTARA,11179.0,RIBU RUPIAH,2022
434,7200,SULAWESI TENGAH,9696.0,RIBU RUPIAH,2022
435,7300,SULAWESI SELATAN,11430.0,RIBU RUPIAH,2022
436,7400,SULAWESI TENGGARA,9708.0,RIBU RUPIAH,2022
437,7500,GORONTALO,10687.0,RIBU RUPIAH,2022
438,7600,SULAWESI BARAT,9358.0,RIBU RUPIAH,2022
439,8100,MALUKU,8876.0,RIBU RUPIAH,2022
440,8200,MALUKU UTARA,8398.0,RIBU RUPIAH,2022
441,9100,PAPUA BARAT,8101.0,RIBU RUPIAH,2022
442,9200,PAPUA,7146.0,RIBU RUPIAH,2022
443,1100,ACEH,10334.0,RIBU RUPIAH,2023
444,1200,SUMATERA UTARA,11049.0,RIBU RUPIAH,2023
445,1300,SUMATERA BARAT,11380.0,RIBU RUPIAH,2023
446,1400,RIAU,11448.0,RIBU RUPIAH,2023
447,1500,JAMBI,11160.0,RIBU RUPIAH,2023
448,1600,SUMATERA SELATAN,11472.0,RIBU RUPIAH,2023
449,1700,BENGKULU,11172.0,RIBU RUPIAH,2023
450,1800,LAMPUNG,10769.0,RIBU RUPIAH,2023
451,1900,KEP. BANGKA BELITUNG,13589.0,RIBU RUPIAH,2023
452,2100,KEPULAUAN RIAU,14998.0,RIBU RUPIAH,2023
453,3100,DKI JAKARTA,19373.0,RIBU RUPIAH,2023
454,3200,JAWA BARAT,11695.0,RIBU RUPIAH,2023
455,3300,JAWA TENGAH,11835.0,RIBU RUPIAH,2023
456,3400,D I YOGYAKARTA,14924.0,RIBU RUPIAH,2023
457,3500,JAWA TIMUR,12421.0,RIBU RUPIAH,2023
458,3600,BANTEN,12601.0,RIBU RUPIAH,2023
459,5100,BALI,14382.0,RIBU RUPIAH,2023
460,5200,NUSA TENGGARA BARAT,11095.0,RIBU RUPIAH,2023
461,5300,NUSA TENGGARA TIMUR,8248.0,RIBU RUPIAH,2023
462,6100,KALIMANTAN BARAT,9810.0,RIBU RUPIAH,2023
463,6200,KALIMANTAN TENGAH,11878.0,RIBU RUPIAH,2023
464,6300,KALIMANTAN SELATAN,12953.0,RIBU RUPIAH,2023
465,6400,KALIMANTAN TIMUR,13202.0,RIBU RUPIAH,2023
466,6500,KALIMANTAN UTARA,9734.0,RIBU RUPIAH,2023
467,7100,SULAWESI UTARA,11497.0,RIBU RUPIAH,2023
468,7200,SULAWESI TENGAH,10149.0,RIBU RUPIAH,2023
469,7300,SULAWESI SELATAN,11841.0,RIBU RUPIAH,2023
470,7400,SULAWESI TENGGARA,10117.0,RIBU RUPIAH,2023
471,7500,GORONTALO,11069.0,RIBU RUPIAH,2023
472,7600,SULAWESI BARAT,9718.0,RIBU RUPIAH,2023
473,8100,MALUKU,9278.0,RIBU RUPIAH,2023
474,8200,MALUKU UTARA,8834.0,RIBU RUPIAH,2023
475,9100,PAPUA BARAT,8404.0,RIBU RUPIAH,2023
476,9400,PAPUA,7562.0,RIBU RUPIAH,2023
